Page,EntryNo,Level,Name,Tier,Cost,Date
5,8,Level 7,Annihilation Gem,Tier 3,9000,2022.09.22
5,9,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
5,10,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
6,1,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
6,2,Level 1,Farsea Gem,Tier 2,1,2022.09.22
6,3,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
6,4,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
6,5,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
6,6,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
6,7,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
6,8,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
6,9,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
6,10,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,1,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,2,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
7,3,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
7,4,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,5,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,6,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,7,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
7,8,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
7,9,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
7,10,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
8,1,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
8,2,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
8,3,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
8,4,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
8,5,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
8,6,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
8,7,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
8,8,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
8,9,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
8,10,Level 1,Crimson Flame Gem,Tier 3,9,2022.09.22
9,1,Level 2,Farsea Gem,Tier 2,1500,2022.09.22
9,2,Level 1,Farsea Gem,Tier 2,1400,2022.09.22
9,3,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
9,4,Level 2,Azure Gem,Tier 2,1500,2022.09.22
9,5,Level 1,Annihilation Gem,Tier 3,9,2022.09.22
9,6,Level 2,Azure Gem,Tier 2,1500,2022.09.22
9,7,Level 1,Azure Gem,Tier 2,1,2022.09.22
9,8,Level 2,Farsea Gem,Tier 2,1500,2022.09.22
9,9,Level 1,Azure Gem,Tier 2,830,2022.09.22
9,10,Level 2,Azure Gem,Tier 2,3,2022.09.22
10,1,Level 2,Farsea Gem,Tier 2,3,2022.09.22
10,2,Level 2,Azure Gem,Tier 2,3,2022.09.22
10,3,Level 1,Azure Gem,Tier 2,1400,2022.09.22
10,4,Level 1,Azure Gem,Tier 2,1,2022.09.22
10,5,Level 5,Crimson Flame Gem,Tier 3,1499,2022.09.22
10,6,Level 5,Annihilation Gem,Tier 3,1200,2022.09.22
10,7,Level 1,Azure Gem,Tier 2,1400,2022.09.22
10,8,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
10,9,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
10,10,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
11,1,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
11,2,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
11,3,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
11,4,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
11,5,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
11,6,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
11,7,Level 1,Farsea Gem,Tier 2,1400,2022.09.22
11,8,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
11,9,Level 1,Farsea Gem,Tier 2,1400,2022.09.22
11,10,Level 7,Crimson Flame Gem,Tier 3,9000,2022.09.22
12,1,Level 7,Crimson Flame Gem,Tier 3,9000,2022.09.22
12,2,Level 5,Crimson Flame Gem,Tier 3,1444,2022.09.22
12,3,Level 1,Azure Gem,Tier 2,465,2022.09.22
12,4,Level 3,Farsea Gem,Tier 2,24500,2022.09.22
12,5,Level 1,Azure Gem,Tier 2,837,2022.09.22
12,6,Level 1,Farsea Gem,Tier 2,1,2022.09.22
12,7,Level 1,Azure Gem,Tier 2,1,2022.09.22
12,8,Level 1,Farsea Gem,Tier 2,1,2022.09.22
12,9,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
12,10,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
13,1,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
13,2,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
13,3,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
13,4,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
13,5,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
13,6,Level 1,Azure Gem,Tier 2,508,2022.09.22
13,7,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
13,8,Level 1,FarseaGem,Tier 2,1500,2022.09.22
13,9,Level 1,Annihilation Gem,Tier 3,24958,2022.09.22
13,10,Level 1,Azure Gem,Tier 2,982,2022.09.22
14,1,Level 6,Annihilation Gem,Tier 3,2700,2022.09.22
14,2,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
14,3,Level 6,Crimson Flame Gem,Tier 3,3297,2022.09.22
14,4,Level 1,Farsea Gem,Tier 2,1700,2022.09.22
14,5,Level 1,Farsea Gem,Tier 2,1,2022.09.22
14,6,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
14,7,Level 7,Crimson Flame Gem,Tier 3,9444,2022.09.22
14,8,Level 1,Farsea Gem,Tier 2,1500,2022.09.22
14,9,Level 7,Crimson Flame Gem,Tier 3,9444,2022.09.22
14,10,Level 1,Azure Gem,Tier 2,654,2022.09.22
15,1,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
15,2,Level 1,Farsea Gem,Tier 2,1499,2022.09.22
15,3,Level 1,Crimson Flame Gem,Tier 3,1500,2022.09.22
15,4,Level 1,Farsea Gem,Tier 2,1500,2022.09.22
15,5,Level 1,Farsea Gem,Tier 2,1,2022.09.22
15,6,Level 1,Farsea Gem,Tier 2,1,2022.09.22
15,7,Level 1,Farsea Gem,Tier 2,1,2022.09.22
15,8,Level 1,FarseaGem,Tier 2,1500,2022.09.22
15,9,Level 1,Azure Gem,Tier 2,1500,2022.09.22
15,10,Level 1,Azure Gem,Tier 2,1500,2022.09.22
16,1,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
16,2,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
16,3,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
16,4,Level 1,Crimson Flame Gem,Tier 3,10,2022.09.22
16,5,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
16,6,Level 1,Annihilation Gem,Tier 3,10,2022.09.22
16,7,Level 5,Crimson Flame Gem,Tier 3,1500,2022.09.22
16,8,Level 5,Crimson Flame Gem,Tier 3,1500,2022.09.22
16,9,Level 5,Crimson Flame Gem,Tier 3,1400,2022.09.22
16,10,Level 5,Crimson Flame Gem,Tier 3,1090,2022.09.22
17,1,Level 5,Annihilation Gem,Tier 3,1750,2022.09.22
17,2,Level 5,Annihilation Gem,Tier 3,1750,2022.09.22
17,3,Level 5,Annihilation Gem,Tier 3,1333,2022.09.22
17,4,Level 1,Azure Gem,Tier 2,335,2022.09.22
17,5,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
17,6,Level 1,Farsea Gem,Tier 2,1,2022.09.22
17,7,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
17,8,Level 1,Annihilation Gem,Tier 3,11,2022.09.22
17,9,Level 1,Azure Gem,Tier 2,1,2022.09.22
17,10,Level 1,Azure Gem,Tier 2,1250,2022.09.22
18,1,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,2,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,3,Level 1,Azure Gem,Tier 2,1,2022.09.22
18,4,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,5,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,6,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
18,7,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,8,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,9,Level 1,Farsea Gem,Tier 2,1,2022.09.22
18,10,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,1,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,2,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,3,Level 5,Crimson Flame Gem,Tier 3,998,2022.09.22
19,4,Level 5,Crimson Flame Gem,Tier 3,998,2022.09.22
19,5,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,6,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,7,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,8,Level 1,Azure Gem,Tier 2,1,2022.09.22
19,9,Level 6,Crimson Flame Gem,Tier 3,2998,2022.09.22
19,10,Level 1,FarseaGem,Tier 2,1,2022.09.22
20,1,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,2,Level 1,Farsea Gem,Tier 2,1250,2022.09.22
20,3,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,4,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,5,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,6,Level 1,Azure Gem,Tier 2,1,2022.09.22
20,7,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,8,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,9,Level 1,Farsea Gem,Tier 2,1,2022.09.22
20,10,Level 1,Farsea Gem,Tier 2,1,2022.09.22
21,1,Level 1,Farsea Gem,Tier 2,1,2022.09.22
21,2,Level 1,Farsea Gem,Tier 2,1,2022.09.22
21,3,Level 1,Farsea Gem,Tier 2,1,2022.09.22
21,4,Level 1,Farsea Gem,Tier 2,1,2022.09.22
21,5,Level 1,Farsea Gem,Tier 2,1250,2022.09.22
21,6,Level 1,Farsea Gem,Tier 2,332,2022.09.22
21,7,Level 1,Farsea Gem,Tier 2,1250,2022.09.22
21,8,Level 1,FarseaGem,Tier 2,1250,2022.09.22
21,9,Level 2,Farsea Gem,Tier 2,1500,2022.09.22
21,10,Level 5,Crimson Flame Gem,Tier 3,1750,2022.09.22
22,1,Level 1,Farsea Gem,Tier 2,1,2022.09.22
22,2,Level 5,Crimson Flame Gem,Tier 3,1500,2022.09.22
22,3,Level 9,Crimson Flame Gem,Tier 3,75000,2022.09.22
22,4,Level 1,Crimson Flame Gem,Tier 3,1500,2022.09.22
22,5,Level 1,Farsea Gem,Tier 2,373,2022.09.22
22,6,Level 5,Annihilation Gem,Tier 3,1599,2022.09.22
22,7,Level 5,Annihilation Gem,Tier 3,1599,2022.09.22
22,8,Level 1,Farsea Gem,Tier 2,1,2022.09.22
22,9,Level 1,Azure Gem,Tier 2,1,2022.09.22
22,10,Level 1,Azure Gem,Tier 2,1800,2022.09.22
23,1,Level 1,Azure Gem,Tier 2,1,2022.09.22
23,2,Level 1,Crimson Flame Gem,Tier 3,1500,2022.09.22
23,3,Level 1,Crimson Flame Gem,Tier 3,11,2022.09.22
23,4,Level 1,Azure Gem,Tier 2,1500,2022.09.22
23,5,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
23,6,Level 1,Azure Gem,Tier 2,393,2022.09.22
23,7,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
23,8,Level 3,Crimson Flame Gem,Tier 3,160,2022.09.22
23,9,Level 3,Crimson Flame Gem,Tier 3,160,2022.09.22
23,10,Level 3,Annihilation Gem,Tier 3,160,2022.09.22
24,1,Level 3,Crimson Flame Gem,Tier 3,160,2022.09.22
24,2,Level 3,Crimson Flame Gem,Tier 3,150,2022.09.22
24,3,Level 3,Annihilation Gem,Tier 3,150,2022.09.22
24,4,Level 3,Annihilation Gem,Tier 3,128,2022.09.22
24,5,Level 3,Annihilation Gem,Tier 3,128,2022.09.22
24,6,Level 3,Crimson Flame Gem,Tier 3,128,2022.09.22
24,7,Level 1,Azure Gem,Tier 2,1500,2022.09.22
24,8,Level 1,Azure Gem,Tier 2,1,2022.09.22
24,9,Level 1,Azure Gem,Tier 2,1,2022.09.22
24,10,Level 1,Azure Gem,Tier 2,1,2022.09.22
25,1,Level 1,Azure Gem,Tier 2,1500,2022.09.22
25,2,Level 3,Annihilation Gem,Tier 3,128,2022.09.22
25,3,Level 3,Crimson Flame Gem,Tier 3,128,2022.09.22
25,4,Level 1,Azure Gem,Tier 2,1,2022.09.22
25,5,Level 1,Azure Gem,Tier 2,1,2022.09.22
25,6,Level 3,Crimson Flame Gem,Tier 3,128,2022.09.22
25,7,Level 1,Azure Gem,Tier 2,1,2022.09.22
25,8,Level 3,Annihilation Gem,Tier 3,128,2022.09.22
25,9,Level 3,Annihilation Gem,Tier 3,128,2022.09.22
25,10,Level 3,Annihilation Gem,Tier 3,125,2022.09.22
26,1,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,2,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,3,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,4,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,5,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,6,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,7,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,8,Level 3,Crimson Flame Gem,Tier 3,125,2022.09.22
26,9,Level 3,Annihilation Gem,Tier 3,125,2022.09.22
26,10,Level 3,Crimson Flame Gem,Tier 3,123,2022.09.22
27,1,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
27,2,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
27,3,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
27,4,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
27,5,Level 5,Farsea Gem,Tier 2,9,2022.09.22
27,6,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
27,7,Level 5,Farsea Gem,Tier 2,12,2022.09.22
27,8,Level 4,Annihilation Gem,Tier 3,350,2022.09.22
27,9,Level 1,Azure Gem,Tier 2,1,2022.09.22
27,10,Level 1,Azure Gem,Tier 2,1,2022.09.22
28,1,Level 1,Azure Gem,Tier 2,1,2022.09.22
28,2,Level 3,Farsea Gem,Tier 2,0,2022.09.22
28,3,Level 3,Farsea Gem,Tier 2,20,2022.09.22
28,4,Level 3,Farsea Gem,Tier 2,0,2022.09.22
28,5,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
28,6,Level 6,Farsea Gem,Tier 2,1500,2022.09.22
28,7,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
28,8,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
28,9,Level 7,Crimson Flame Gem,Tier 3,8000,2022.09.22
28,10,Level 5,Azure Gem,Tier 2,1300,2022.09.22
29,1,Level 1,Azure Gem,Tier 2,1800,2022.09.22
29,2,Level 5,Annihilation Gem,Tier 3,1250,2022.09.22
29,3,Level 1,Azure Gem,Tier 2,1300,2022.09.22
29,4,Level 1,Azure Gem,Tier 2,1,2022.09.22
29,5,Level 5,Azure Gem,Tier 2,55,2022.09.22
29,6,Level 1,Azure Gem,Tier 2,302,2022.09.22
29,7,Level 1,Azure Gem,Tier 2,1,2022.09.22
29,8,Level 7,FarseaGem,Tier 2,66,2022.09.22
29,9,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
29,10,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
30,1,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
30,2,Level 5,Crimson Flame Gem,Tier 3,1250,2022.09.22
30,3,Level 5,Farsea Gem,Tier 2,1400,2022.09.22
30,4,Level 5,Azure Gem,Tier 2,25,2022.09.22
30,5,Level 2,Farsea Gem,Tier 2,1401,2022.09.22
30,6,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
30,7,Level 3,Farsea Gem,Tier 2,4500,2022.09.22
30,8,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
30,9,Level 4,Annihilation Gem,Tier 3,269,2022.09.22
30,10,Level 4,Annihilation Gem,Tier 3,269,2022.09.22
31,1,Level 4,Crimson Flame Gem,Tier 3,269,2022.09.22
31,2,Level 4,Crimson Flame Gem,Tier 3,269,2022.09.22
31,3,Level 3,Annihilation Gem,Tier 3,119,2022.09.22
31,4,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
31,5,Level 3,Farsea Gem,Tier 2,1400,2022.09.22
31,6,Level 3,Azure Gem,Tier 2,1400,2022.09.22
31,7,Level 2,Farsea Gem,Tier 2,1400,2022.09.22
31,8,Level 5,Annihilation Gem,Tier 3,1400,2022.09.22
31,9,Level 7,Annihilation Gem,Tier 3,9100,2022.09.22
31,10,Level 4,Annihilation Gem,Tier 3,600,2022.09.22
32,1,Level 2,Crimson Flame Gem,Tier 3,1500,2022.09.22
32,2,Level 3,Azure Gem,Tier 2,1500,2022.09.22
32,3,Level 6,Crimson Flame Gem,Tier 3,3199,2022.09.22
32,4,Level 5,Crimson Flame Gem,Tier 3,999,2022.09.22
32,5,Level 6,Annihilation Gem,Tier 3,2700,2022.09.22
32,6,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
32,7,Level 3,Annihilation Gem,Tier 3,50000,2022.09.22
32,8,Level 2,FarseaGem,Tier 2,29999,2022.09.22
32,9,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
32,10,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
33,1,Level 6,Crimson Flame Gem,Tier 3,2950,2022.09.22
33,2,Level 6,Annihilation Gem,Tier 3,2700,2022.09.22
33,3,Level 5,Crimson Flame Gem,Tier 3,990,2022.09.22
33,4,Level 5,Crimson Flame Gem,Tier 3,1055,2022.09.22
33,5,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
33,6,Level 6,Farsea Gem,Tier 2,22,2022.09.22
33,7,Level 9,Farsea Gem,Tier 2,1500,2022.09.22
33,8,Level 2,FarseaGem,Tier 2,1300,2022.09.22
33,9,Level 8,Farsea Gem,Tier 2,890,2022.09.22
33,10,Level 7,Azure Gem,Tier 2,295,2022.09.22
34,1,Level 7,Azure Gem,Tier 2,288,2022.09.22
34,2,Level 7,Azure Gem,Tier 2,250,2022.09.22
34,3,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
34,4,Level 7,Azure Gem,Tier 2,222,2022.09.22
34,5,Level 7,Azure Gem,Tier 2,200,2022.09.22
34,6,Level 7,Azure Gem,Tier 2,150,2022.09.22
34,7,Level 8,Azure Gem,Tier 2,690,2022.09.22
34,8,Level 8,FarseaGem,Tier 2,400,2022.09.22
34,9,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
34,10,Level 2,Annihilation Gem,Tier 3,4000,2022.09.22
35,1,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
35,2,Level 5,Crimson Flame Gem,Tier 3,1055,2022.09.22
35,3,Level 7,Crimson Flame Gem,Tier 3,9000,2022.09.22
35,4,Level 5,Crimson Flame Gem,Tier 3,1054,2022.09.22
35,5,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
35,6,Level 6,Farsea Gem,Tier 2,20,2022.09.22
35,7,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
35,8,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
35,9,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
35,10,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
36,1,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,2,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,3,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,4,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,5,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
36,6,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,7,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,8,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,9,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
36,10,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
37,1,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
37,2,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
37,3,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
37,4,Level 3,Crimson Flame Gem,Tier 3,115,2022.09.22
37,5,Level 3,Annihilation Gem,Tier 3,115,2022.09.22
37,6,Level 7,Annihilation Gem,Tier 3,9950,2022.09.22
37,7,Level 4,Farsea Gem,Tier 2,20,2022.09.22
37,8,Level 4,Farsea Gem,Tier 2,0,2022.09.22
37,9,Level 3,Azure Gem,Tier 2,16,2022.09.22
37,10,Level 4,Farsea Gem,Tier 2,6,2022.09.22
38,1,Level 7,Crimson Flame Gem,Tier 3,9750,2022.09.22
38,2,Level 7,Annihilation Gem,Tier 3,11000,2022.09.22
38,3,Level 3,Azure Gem,Tier 2,20,2022.09.22
38,4,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
38,5,Level 6,Annihilation Gem,Tier 3,2700,2022.09.22
38,6,Level 2,Azure Gem,Tier 2,1499,2022.09.22
38,7,Level 2,Azure Gem,Tier 2,1499,2022.09.22
38,8,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
38,9,Level 4,Annihilation Gem,Tier 3,500,2022.09.22
38,10,Level 2,Annihilation Gem,Tier 3,100,2022.09.22
39,1,Level 5,Crimson Flame Gem,Tier 3,1200,2022.09.22
39,2,Level 5,Azure Gem,Tier 2,1000,2022.09.22
39,3,Level 2,Azure Gem,Tier 2,1000,2022.09.22
39,4,Level 7,Annihilation Gem,Tier 3,9499,2022.09.22
39,5,Level 5,Azure Gem,Tier 2,55,2022.09.22
39,6,Level 2,Azure Gem,Tier 2,5,2022.09.22
39,7,Level 3,Azure Gem,Tier 2,2,2022.09.22
39,8,Level 7,Crimson Flame Gem,Tier 3,9499,2022.09.22
39,9,Level 7,Crimson Flame Gem,Tier 3,9499,2022.09.22
39,10,Level 2,Azure Gem,Tier 2,2,2022.09.22
40,1,Level 2,Azure Gem,Tier 2,2,2022.09.22
40,2,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
40,3,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
40,4,Level 2,FarseaGem,Tier 2,1500,2022.09.22
40,5,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
40,6,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
40,7,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
40,8,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
40,9,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
40,10,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
41,1,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
41,2,Level 3,Azure Gem,Tier 2,25400,2022.09.22
41,3,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
41,4,Level 5,Crimson Flame Gem,Tier 3,980,2022.09.22
41,5,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
41,6,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
41,7,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
41,8,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
41,9,Level 7,Crimson Flame Gem,Tier 3,9450,2022.09.22
41,10,Level 7,Annihilation Gem,Tier 3,9000,2022.09.22
42,1,Level 5,Annihilation Gem,Tier 3,985,2022.09.22
42,2,Level 5,Crimson Flame Gem,Tier 3,985,2022.09.22
42,3,Level 5,Azure Gem,Tier 2,1400,2022.09.22
42,4,Level 5,Azure Gem,Tier 2,30,2022.09.22
42,5,Level 6,Annihilation Gem,Tier 3,3199,2022.09.22
42,6,Level 3,Farsea Gem,Tier 2,4500,2022.09.22
42,7,Level 5,Annihilation Gem,Tier 3,985,2022.09.22
42,8,Level 6,Annihilation Gem,Tier 3,2730,2022.09.22
